Thu Oct 23 17:18:35 UTC 2025
[INFO] [1761239916.383281765] [ros_control]: cmd loop
[INFO] [1761239916.383936007] [ros_control]: ami: 0
[INFO] [1761239916.384495780] [ros_control]: as: 0
[INFO] [1761239916.393360494] [ros_control]: cmd loop
[INFO] [1761239916.393992852] [ros_control]: ami: 0
[INFO] [1761239916.394592385] [ros_control]: as: 0
[INFO] [1761239916.403291020] [ros_control]: cmd loop
[INFO] [1761239916.403987946] [ros_control]: ami: 0
[INFO] [1761239916.404529952] [ros_control]: as: 0
[INFO] [1761239916.413241588] [ros_control]: cmd loop
[INFO] [1761239916.413898321] [ros_control]: ami: 0
[INFO] [1761239916.414394393] [ros_control]: as: 0
[INFO] [1761239916.423202339] [ros_control]: cmd loop
[INFO] [1761239916.423809671] [ros_control]: ami: 0
[INFO] [1761239916.424358719] [ros_control]: as: 0
[INFO] [1761239916.433343253] [ros_control]: cmd loop
[INFO] [1761239916.434065747] [ros_control]: ami: 0
[INFO] [1761239916.434707639] [ros_control]: as: 0
[INFO] [1761239916.443330330] [ros_control]: cmd loop
[INFO] [1761239916.443965072] [ros_control]: ami: 0
[INFO] [1761239916.444456268] [ros_control]: as: 0
[INFO] [1761239916.453308416] [ros_control]: cmd loop
[INFO] [1761239916.454058969] [ros_control]: ami: 0
[INFO] [1761239916.454880482] [ros_control]: as: 0
[INFO] [1761239916.463310985] [ros_control]: cmd loop
[INFO] [1761239916.463987002] [ros_control]: ami: 0
[INFO] [1761239916.464645795] [ros_control]: as: 0
[INFO] [1761239916.473336413] [ros_control]: cmd loop
[INFO] [1761239916.473942879] [ros_control]: ami: 0
[INFO] [1761239916.474568520] [ros_control]: as: 0
[INFO] [1761239916.483369099] [ros_control]: cmd loop
[INFO] [1761239916.484124852] [ros_control]: ami: 0
[INFO] [1761239916.484632841] [ros_control]: as: 0
[INFO] [1761239916.493499289] [ros_control]: cmd loop
[INFO] [1761239916.494223624] [ros_control]: ami: 0
[INFO] [1761239916.495064963] [ros_control]: as: 0
[INFO] [1761239916.503370663] [ros_control]: cmd loop
[INFO] [1761239916.504127824] [ros_control]: ami: 0
[INFO] [1761239916.504813159] [ros_control]: as: 0
[INFO] [1761239916.513310613] [ros_control]: cmd loop
[INFO] [1761239916.514060408] [ros_control]: ami: 0
[INFO] [1761239916.514646073] [ros_control]: as: 0
[INFO] [1761239916.523484029] [ros_control]: cmd loop
[INFO] [1761239916.524283983] [ros_control]: ami: 0
[INFO] [1761239916.524889474] [ros_control]: as: 0
[INFO] [1761239916.533289534] [ros_control]: cmd loop
[INFO] [1761239916.533995669] [ros_control]: ami: 0
[INFO] [1761239916.534550892] [ros_control]: as: 0
[INFO] [1761239916.543493392] [ros_control]: cmd loop
[INFO] [1761239916.544278613] [ros_control]: ami: 0
[INFO] [1761239916.544841202] [ros_control]: as: 0
[INFO] [1761239916.553365308] [ros_control]: cmd loop
[INFO] [1761239916.553988891] [ros_control]: ami: 0
[INFO] [1761239916.554560797] [ros_control]: as: 0
[INFO] [1761239916.563274058] [ros_control]: cmd loop
[INFO] [1761239916.563973259] [ros_control]: ami: 0
[INFO] [1761239916.564503890] [ros_control]: as: 0
[INFO] [1761239916.573430248] [ros_control]: cmd loop
[INFO] [1761239916.574177659] [ros_control]: ami: 0
[INFO] [1761239916.574739923] [ros_control]: as: 0
[INFO] [1761239916.583344523] [ros_control]: cmd loop
[INFO] [1761239916.584042208] [ros_control]: ami: 0
[INFO] [1761239916.584722125] [ros_control]: as: 0
[INFO] [1761239916.593227489] [ros_control]: cmd loop
[INFO] [1761239916.593835796] [ros_control]: ami: 0
[INFO] [1761239916.594523189] [ros_control]: as: 0
[INFO] [1761239916.603341969] [ros_control]: cmd loop
[INFO] [1761239916.603985811] [ros_control]: ami: 0
[INFO] [1761239916.604536159] [ros_control]: as: 0
[INFO] [1761239916.613478983] [ros_control]: cmd loop
[INFO] [1761239916.614149909] [ros_control]: ami: 0
[INFO] [1761239916.614768509] [ros_control]: as: 0
[INFO] [1761239916.623362491] [ros_control]: cmd loop
[INFO] [1761239916.624073935] [ros_control]: ami: 0
[INFO] [1761239916.624599040] [ros_control]: as: 0
[INFO] [1761239916.633374052] [ros_control]: cmd loop
[INFO] [1761239916.634073687] [ros_control]: ami: 0
[INFO] [1761239916.634690228] [ros_control]: as: 0
[INFO] [1761239916.643264168] [ros_control]: cmd loop
[INFO] [1761239916.643996304] [ros_control]: ami: 0
[INFO] [1761239916.644709048] [ros_control]: as: 0
[INFO] [1761239916.653384174] [ros_control]: cmd loop
[INFO] [1761239916.654042533] [ros_control]: ami: 0
[INFO] [1761239916.654669691] [ros_control]: as: 0
[INFO] [1761239916.663404077] [ros_control]: cmd loop
[INFO] [1761239916.664163838] [ros_control]: ami: 0
[INFO] [1761239916.664689485] [ros_control]: as: 0
[INFO] [1761239916.673308385] [ros_control]: cmd loop
[INFO] [1761239916.673982669] [ros_control]: ami: 0
[INFO] [1761239916.674606252] [ros_control]: as: 0
[INFO] [1761239916.683342588] [ros_control]: cmd loop
[INFO] [1761239916.684011347] [ros_control]: ami: 0
[INFO] [1761239916.684529953] [ros_control]: as: 0
[INFO] [1761239916.693382534] [ros_control]: cmd loop
[INFO] [1761239916.694071335] [ros_control]: ami: 0
[INFO] [1761239916.694696001] [ros_control]: as: 0
[INFO] [1761239916.703386078] [ros_control]: cmd loop
[INFO] [1761239916.704065129] [ros_control]: ami: 0
[INFO] [1761239916.704615693] [ros_control]: as: 0
[INFO] [1761239916.713278686] [ros_control]: cmd loop
[INFO] [1761239916.713961203] [ros_control]: ami: 0
[INFO] [1761239916.714614254] [ros_control]: as: 0
[INFO] [1761239916.723256337] [ros_control]: cmd loop
[INFO] [1761239916.723845253] [ros_control]: ami: 0
[INFO] [1761239916.724532429] [ros_control]: as: 0
[INFO] [1761239916.733460628] [ros_control]: cmd loop
[INFO] [1761239916.734215406] [ros_control]: ami: 0
[INFO] [1761239916.734951117] [ros_control]: as: 0
[INFO] [1761239916.743858300] [ros_control]: cmd loop
[INFO] [1761239916.744946103] [ros_control]: ami: 0
[INFO] [1761239916.745585178] [ros_control]: as: 0
[INFO] [1761239916.753476817] [ros_control]: cmd loop
[INFO] [1761239916.754131384] [ros_control]: ami: 0
[INFO] [1761239916.754792235] [ros_control]: as: 0
[INFO] [1761239916.763363791] [ros_control]: cmd loop
[INFO] [1761239916.763964299] [ros_control]: ami: 0
[INFO] [1761239916.764474887] [ros_control]: as: 0
[INFO] [1761239916.773295075] [ros_control]: cmd loop
[INFO] [1761239916.773985502] [ros_control]: ami: 0
[INFO] [1761239916.774528483] [ros_control]: as: 0
[INFO] [1761239916.783377488] [ros_control]: cmd loop
[INFO] [1761239916.783999121] [ros_control]: ami: 0
[INFO] [1761239916.784606562] [ros_control]: as: 0
[INFO] [1761239916.793549170] [ros_control]: cmd loop
[INFO] [1761239916.794345658] [ros_control]: ami: 0
[INFO] [1761239916.795060785] [ros_control]: as: 0
[INFO] [1761239916.803523464] [ros_control]: cmd loop
[INFO] [1761239916.804248232] [ros_control]: ami: 0
[INFO] [1761239916.804791105] [ros_control]: as: 0
[INFO] [1761239916.813659720] [ros_control]: cmd loop
[INFO] [1761239916.814330429] [ros_control]: ami: 0
[INFO] [1761239916.814937220] [ros_control]: as: 0
[INFO] [1761239916.823689481] [ros_control]: cmd loop
[INFO] [1761239916.824417608] [ros_control]: ami: 0
[INFO] [1761239916.824988215] [ros_control]: as: 0
[INFO] [1761239916.833807428] [ros_control]: cmd loop
[INFO] [1761239916.834548664] [ros_control]: ami: 0
[INFO] [1761239916.835125663] [ros_control]: as: 0
[INFO] [1761239916.843514673] [ros_control]: cmd loop
[INFO] [1761239916.844197082] [ros_control]: ami: 0
[INFO] [1761239916.845087931] [ros_control]: as: 0
[INFO] [1761239916.853629587] [ros_control]: cmd loop
[INFO] [1761239916.854394982] [ros_control]: ami: 0
[INFO] [1761239916.855105342] [ros_control]: as: 0
[INFO] [1761239916.863926614] [ros_control]: cmd loop
[INFO] [1761239916.864928073] [ros_control]: ami: 0
[INFO] [1761239916.865767245] [ros_control]: as: 0
[INFO] [1761239916.873850747] [ros_control]: cmd loop
[INFO] [1761239916.874899766] [ros_control]: ami: 0
[INFO] [1761239916.875641652] [ros_control]: as: 0
[INFO] [1761239916.883532858] [ros_control]: cmd loop
[INFO] [1761239916.884377447] [ros_control]: ami: 0
[INFO] [1761239916.884959970] [ros_control]: as: 0
[INFO] [1761239916.894321623] [ros_control]: cmd loop
[INFO] [1761239916.897331743] [ros_control]: ami: 0
[INFO] [1761239916.899359687] [ros_control]: as: 0
[INFO] [1761239916.903542546] [ros_control]: cmd loop
[INFO] [1761239916.904216506] [ros_control]: ami: 0
[INFO] [1761239916.904796104] [ros_control]: as: 0
[INFO] [1761239916.913672627] [ros_control]: cmd loop
[INFO] [1761239916.914441597] [ros_control]: ami: 0
[INFO] [1761239916.915227251] [ros_control]: as: 0
[INFO] [1761239916.924017972] [ros_control]: cmd loop
[INFO] [1761239916.924832118] [ros_control]: ami: 0
[INFO] [1761239916.925399366] [ros_control]: as: 0
[INFO] [1761239916.933311698] [ros_control]: cmd loop
[INFO] [1761239916.938166999] [ros_control]: ami: 0
[INFO] [1761239916.938981362] [ros_control]: as: 0
[INFO] [1761239916.943111570] [ros_control]: cmd loop
[INFO] [1761239916.943714569] [ros_control]: ami: 0
[INFO] [1761239916.946698363] [ros_control]: as: 0
[INFO] [1761239916.953482807] [ros_control]: cmd loop
[INFO] [1761239916.954170091] [ros_control]: ami: 0
[INFO] [1761239916.954771465] [ros_control]: as: 0
[INFO] [1761239916.963910054] [ros_control]: cmd loop
[INFO] [1761239916.967928675] [ros_control]: ami: 0
[INFO] [1761239916.969145615] [ros_control]: as: 0
[INFO] [1761239916.973534096] [ros_control]: cmd loop
[INFO] [1761239916.974507497] [ros_control]: ami: 0
[INFO] [1761239916.975355336] [ros_control]: as: 0
[INFO] [1761239916.984063396] [ros_control]: cmd loop
[INFO] [1761239916.985738056] [ros_control]: ami: 0
[INFO] [1761239916.986601170] [ros_control]: as: 0
[INFO] [1761239916.993304687] [ros_control]: cmd loop
[INFO] [1761239916.994075715] [ros_control]: ami: 0
[INFO] [1761239916.994910337] [ros_control]: as: 0
[INFO] [1761239917.003692283] [ros_control]: cmd loop
[INFO] [1761239917.004671100] [ros_control]: ami: 0
[INFO] [1761239917.005832572] [ros_control]: as: 0
[INFO] [1761239917.014452772] [ros_control]: cmd loop
[INFO] [1761239917.015695604] [ros_control]: ami: 0
[INFO] [1761239917.016603028] [ros_control]: as: 0
[INFO] [1761239917.023079147] [ros_control]: cmd loop
[INFO] [1761239917.024205409] [ros_control]: ami: 0
[INFO] [1761239917.024937545] [ros_control]: as: 0
[INFO] [1761239917.035833454] [ros_control]: cmd loop
[INFO] [1761239917.036926458] [ros_control]: ami: 0
[INFO] [1761239917.037594783] [ros_control]: as: 0
[INFO] [1761239917.043485129] [ros_control]: cmd loop
[INFO] [1761239917.047081564] [ros_control]: ami: 0
[INFO] [1761239917.049335389] [ros_control]: as: 0
[INFO] [1761239917.053507415] [ros_control]: cmd loop
[INFO] [1761239917.054129698] [ros_control]: ami: 0
[INFO] [1761239917.054758047] [ros_control]: as: 0
[INFO] [1761239917.063498175] [ros_control]: cmd loop
[INFO] [1761239917.064139959] [ros_control]: ami: 0
[INFO] [1761239917.064866244] [ros_control]: as: 0
[INFO] [1761239917.074947574] [ros_control]: cmd loop
[INFO] [1761239917.076806189] [ros_control]: ami: 0
[INFO] [1761239917.078306970] [ros_control]: as: 0
[INFO] [1761239917.083325534] [ros_control]: cmd loop
[INFO] [1761239917.083901666] [ros_control]: ami: 0
[INFO] [1761239917.084506940] [ros_control]: as: 0
[INFO] [1761239917.093738589] [ros_control]: cmd loop
[INFO] [1761239917.095163534] [ros_control]: ami: 0
[INFO] [1761239917.095771517] [ros_control]: as: 0
[INFO] [1761239917.103338906] [ros_control]: cmd loop
[INFO] [1761239917.103991415] [ros_control]: ami: 0
[INFO] [1761239917.104515762] [ros_control]: as: 0
[INFO] [1761239917.113954983] [ros_control]: cmd loop
[INFO] [1761239917.114800655] [ros_control]: ami: 0
[INFO] [1761239917.115440488] [ros_control]: as: 0
[INFO] [1761239917.123545333] [ros_control]: cmd loop
[INFO] [1761239917.124329795] [ros_control]: ami: 0
[INFO] [1761239917.124847100] [ros_control]: as: 0
[INFO] [1761239917.133505434] [ros_control]: cmd loop
[INFO] [1761239917.134316330] [ros_control]: ami: 0
[INFO] [1761239917.134874153] [ros_control]: as: 0
[INFO] [1761239917.143616231] [ros_control]: cmd loop
[INFO] [1761239917.144375776] [ros_control]: ami: 0
[INFO] [1761239917.144899256] [ros_control]: as: 0
[INFO] [1761239917.153743170] [ros_control]: cmd loop
[INFO] [1761239917.154556016] [ros_control]: ami: 0
[INFO] [1761239917.155236367] [ros_control]: as: 0
[INFO] [1761239917.163521592] [ros_control]: cmd loop
[INFO] [1761239917.164221552] [ros_control]: ami: 0
[INFO] [1761239917.164735173] [ros_control]: as: 0
[INFO] [1761239917.173385707] [ros_control]: cmd loop
[INFO] [1761239917.174305698] [ros_control]: ami: 0
[INFO] [1761239917.178367437] [ros_control]: as: 0
[INFO] [1761239917.183746327] [ros_control]: cmd loop
[INFO] [1761239917.184483447] [ros_control]: ami: 0
[INFO] [1761239917.185149497] [ros_control]: as: 0
[INFO] [1761239917.193427463] [ros_control]: cmd loop
[INFO] [1761239917.194083222] [ros_control]: ami: 0
[INFO] [1761239917.194803982] [ros_control]: as: 0
[INFO] [1761239917.203548985] [ros_control]: cmd loop
[INFO] [1761239917.204294446] [ros_control]: ami: 0
[INFO] [1761239917.204825727] [ros_control]: as: 0
[INFO] [1761239917.214004183] [ros_control]: cmd loop
[INFO] [1761239917.214831546] [ros_control]: ami: 0
[INFO] [1761239917.215417645] [ros_control]: as: 0
[INFO] [1761239917.223832439] [ros_control]: cmd loop
[INFO] [1761239917.225274718] [ros_control]: ami: 0
[INFO] [1761239917.226087456] [ros_control]: as: 0
[INFO] [1761239917.233594069] [ros_control]: cmd loop
[INFO] [1761239917.234286120] [ros_control]: ami: 0
[INFO] [1761239917.234891286] [ros_control]: as: 0
[INFO] [1761239917.243487435] [ros_control]: cmd loop
[INFO] [1761239917.244250122] [ros_control]: ami: 0
[INFO] [1761239917.248394630] [ros_control]: as: 0
